UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2025/04/29T00:24:22z,40:91:51:5d:7f:d7,7.02,2.0+OPENLOG+31954 MB+DS3231+BME280+PMSX003-B+PMSX003-A,80,46,57,990.59,0.00,36552,0,473,12.64,17.12,17.55,12.64,17.12,17.55,62,62,2187.32,645.66,104.48,2.68,0.48,0.00,13.69,18.66,19.02,13.69,18.66,19.02,65,65,2523.15,699.92,104.85,3.59,0.44,0.20
2025/04/29T00:26:22z,40:91:51:5d:7f:d7,7.02,2.0+OPENLOG+31954 MB+DS3231+BME280+PMSX003-B+PMSX003-A,80,46,57,990.63,0.00,36552,0,593,11.49,16.60,17.33,11.49,16.60,17.33,61,61,2097.16,622.39,111.12,4.53,1.30,0.00,13.07,18.19,18.37,13.07,18.19,18.37,64,64,2485.05,684.86,100.47,4.63,0.21,0.00
2025/04/29T00:28:22z,40:91:51:5d:7f:d7,7.02,2.0+OPENLOG+31954 MB+DS3231+BME280+PMSX003-B+PMSX003-A,80,46,57,990.62,0.00,36552,0,713,11.42,17.13,17.52,11.42,17.13,17.52,62,62,2149.75,625.80,116.87,3.15,0.75,0.08,12.37,16.49,16.67,12.37,16.49,16.67,61,61,2323.84,639.68,93.09,4.25,0.40,0.00
2025/04/29T00:30:22z,40:91:51:5d:7f:d7,7.02,2.0+OPENLOG+31954 MB+DS3231+BME280+PMSX003-B+PMSX003-A,80,47,57,990.70,0.00,36552,0,833,11.44,16.02,16.82,11.44,16.02,16.82,60,60,2041.74,604.70,103.47,3.49,1.18,0.56,12.78,18.24,18.78,12.78,18.24,18.78,64,64,2487.67,697.72,111.16,4.81,0.64,0.17
2025/04/29T00:32:22z,40:91:51:5d:7f:d7,7.02,2.0+OPENLOG+31954 MB+DS3231+BME280+PMSX003-B+PMSX003-A,80,47,58,990.72,0.00,36552,0,953,12.20,16.32,16.95,12.20,16.32,16.95,60,60,2091.21,621.68,94.04,3.75,0.82,0.16,13.22,18.28,18.43,13.22,18.28,18.43,64,64,2464.30,678.52,111.48,3.33,0.18,0.18
2025/04/29T00:34:22z,40:91:51:5d:7f:d7,7.02,2.0+OPENLOG+31954 MB+DS3231+BME280+PMSX003-B+PMSX003-A,80,47,58,990.77,0.00,36552,0,1073,12.62,16.86,17.47,12.62,16.86,17.47,61,61,2246.07,660.03,101.67,2.81,0.72,0.19,13.15,17.68,18.10,13.15,17.68,18.10,63,63,2451.15,673.41,98.85,2.81,0.69,0.00
2025/04/29T00:36:22z,40:91:51:5d:7f:d7,7.02,2.0+OPENLOG+31954 MB+DS3231+BME280+PMSX003-B+PMSX003-A,80,47,58,990.77,0.00,36552,0,1193,11.53,16.31,16.84,11.53,16.31,16.84,60,60,2184.16,650.02,110.21,2.64,0.98,0.00,14.07,18.72,19.07,14.07,18.72,19.07,65,65,2597.16,711.75,107.30,2.98,0.47,0.21
2025/04/29T00:38:15z,40:91:51:5d:7f:d7,7.02,2.0+OPENLOG+31954 MB+DS3231+BME280+PMSX003-B+PMSX003-A,80,47,58,990.78,nan,36704,0,112,12.30,17.65,18.07,12.30,17.65,18.07,63,63,2243.80,662.93,117.35,1.89,0.65,0.33,12.90,17.90,18.07,12.90,17.90,18.07,64,64,2541.64,697.64,102.55,2.48,0.17,0.02
2025/04/29T00:40:15z,40:91:51:5d:7f:d7,7.02,2.0+OPENLOG+31954 MB+DS3231+BME280+PMSX003-B+PMSX003-A,79,47,57,990.83,0.00,36616,0,232,12.49,17.34,18.63,12.49,17.34,18.63,62,62,2170.17,647.88,105.98,4.49,2.17,0.41,13.25,18.25,18.82,13.25,18.25,18.82,64,64,2512.23,690.39,107.09,4.14,0.82,0.38
2025/04/29T00:42:15z,40:91:51:5d:7f:d7,7.02,2.0+OPENLOG+31954 MB+DS3231+BME280+PMSX003-B+PMSX003-A,79,47,57,990.84,0.00,36552,0,352,12.95,18.28,19.61,12.95,18.28,19.61,64,64,2280.05,670.46,115.58,7.05,2.33,0.18,14.29,19.88,20.41,14.29,19.88,20.41,68,68,2671.14,736.41,113.60,3.84,0.76,0.34
